# Nmap 7.93 scan initiated Thu Mar  5 20:38:12 2026 as: nmap -Pn -sS -p- --min-rate 3000 -oN /workspace/data/projects/ctf-154-57-164-76-32105/artifacts/nmap_allports.txt 154.57.164.76
Nmap scan report for 154-57-164-76.static.isp.htb.systems (154.57.164.76)
Host is up (0.013s latency).
Not shown: 35531 filtered tcp ports (no-response), 3 filtered tcp ports (port-unreach), 29693 closed tcp ports (reset)
PORT      STATE SERVICE
8008/tcp  open  http
8020/tcp  open  intu-ec-svcdisc
30021/tcp open  unknown
30092/tcp open  unknown
30093/tcp open  unknown
30098/tcp open  unknown
30113/tcp open  unknown
30117/tcp open  unknown
30123/tcp open  unknown
30124/tcp open  unknown
30133/tcp open  unknown
30134/tcp open  unknown
30135/tcp open  unknown
30138/tcp open  unknown
30147/tcp open  unknown
30153/tcp open  unknown
30155/tcp open  unknown
30158/tcp open  unknown
30160/tcp open  unknown
30163/tcp open  unknown
30173/tcp open  unknown
30177/tcp open  unknown
30187/tcp open  unknown
30192/tcp open  unknown
30193/tcp open  unknown
30206/tcp open  unknown
30213/tcp open  unknown
30220/tcp open  unknown
30231/tcp open  unknown
30243/tcp open  unknown
30246/tcp open  unknown
30252/tcp open  unknown
30263/tcp open  unknown
30268/tcp open  unknown
30271/tcp open  unknown
30284/tcp open  unknown
30286/tcp open  unknown
30290/tcp open  unknown
30299/tcp open  unknown
30303/tcp open  unknown
30339/tcp open  unknown
30344/tcp open  unknown
30376/tcp open  unknown
30377/tcp open  unknown
30388/tcp open  unknown
30395/tcp open  unknown
30396/tcp open  unknown
30402/tcp open  unknown
30411/tcp open  unknown
30446/tcp open  unknown
30447/tcp open  unknown
30460/tcp open  unknown
30466/tcp open  unknown
30469/tcp open  unknown
30471/tcp open  unknown
30480/tcp open  unknown
30485/tcp open  unknown
30494/tcp open  unknown
30496/tcp open  unknown
30498/tcp open  unknown
30511/tcp open  unknown
30516/tcp open  unknown
30519/tcp open  unknown
30534/tcp open  unknown
30537/tcp open  unknown
30562/tcp open  unknown
30581/tcp open  unknown
30595/tcp open  unknown
30601/tcp open  unknown
30606/tcp open  unknown
30607/tcp open  unknown
30624/tcp open  unknown
30634/tcp open  unknown
30635/tcp open  unknown
30638/tcp open  unknown
30640/tcp open  unknown
30671/tcp open  unknown
30679/tcp open  unknown
30680/tcp open  unknown
30693/tcp open  unknown
30696/tcp open  unknown
30731/tcp open  unknown
30737/tcp open  unknown
30738/tcp open  unknown
30762/tcp open  unknown
30763/tcp open  unknown
30767/tcp open  unknown
30799/tcp open  unknown
30804/tcp open  unknown
30805/tcp open  unknown
30809/tcp open  unknown
30816/tcp open  unknown
30820/tcp open  unknown
30833/tcp open  unknown
30837/tcp open  unknown
30842/tcp open  unknown
30847/tcp open  unknown
30851/tcp open  unknown
30856/tcp open  unknown
30867/tcp open  unknown
30868/tcp open  unknown
30871/tcp open  unknown
30877/tcp open  unknown
30892/tcp open  unknown
30908/tcp open  unknown
30927/tcp open  unknown
30941/tcp open  unknown
30946/tcp open  unknown
30954/tcp open  unknown
30993/tcp open  unknown
30998/tcp open  unknown
31000/tcp open  unknown
31005/tcp open  unknown
31044/tcp open  unknown
31055/tcp open  unknown
31057/tcp open  unknown
31088/tcp open  unknown
31089/tcp open  unknown
31119/tcp open  unknown
31120/tcp open  unknown
31121/tcp open  unknown
31125/tcp open  unknown
31135/tcp open  unknown
31144/tcp open  unknown
31154/tcp open  unknown
31161/tcp open  unknown
31175/tcp open  unknown
31181/tcp open  unknown
31212/tcp open  unknown
31215/tcp open  unknown
31216/tcp open  unknown
31228/tcp open  unknown
31231/tcp open  unknown
31240/tcp open  unknown
31242/tcp open  unknown
31243/tcp open  unknown
31244/tcp open  unknown
31247/tcp open  unknown
31251/tcp open  unknown
31267/tcp open  unknown
31274/tcp open  unknown
31285/tcp open  unknown
31288/tcp open  unknown
31291/tcp open  unknown
31306/tcp open  unknown
31324/tcp open  unknown
31338/tcp open  unknown
31351/tcp open  unknown
31366/tcp open  unknown
31367/tcp open  unknown
31375/tcp open  unknown
31401/tcp open  unknown
31407/tcp open  unknown
31420/tcp open  unknown
31421/tcp open  unknown
31431/tcp open  unknown
31432/tcp open  unknown
31433/tcp open  unknown
31440/tcp open  unknown
31445/tcp open  unknown
31464/tcp open  unknown
31476/tcp open  unknown
31489/tcp open  unknown
31492/tcp open  unknown
31509/tcp open  unknown
31510/tcp open  unknown
31546/tcp open  unknown
31549/tcp open  unknown
31555/tcp open  unknown
31575/tcp open  unknown
31578/tcp open  unknown
31580/tcp open  unknown
31584/tcp open  unknown
31585/tcp open  unknown
31600/tcp open  unknown
31604/tcp open  unknown
31672/tcp open  unknown
31677/tcp open  unknown
31687/tcp open  unknown
31722/tcp open  unknown
31733/tcp open  unknown
31737/tcp open  unknown
31738/tcp open  unknown
31740/tcp open  unknown
31747/tcp open  unknown
31766/tcp open  unknown
31767/tcp open  unknown
31774/tcp open  unknown
31777/tcp open  unknown
31789/tcp open  unknown
31794/tcp open  unknown
31796/tcp open  unknown
31798/tcp open  unknown
31818/tcp open  unknown
31821/tcp open  unknown
