Starting Nmap 7.93 ( https://nmap.org ) at 2026-03-05 21:18 UTC
Nmap scan report for 154-57-164-76.static.isp.htb.systems (154.57.164.76)
Host is up (0.013s latency).
Not shown: 35531 filtered tcp ports (no-response), 3 filtered tcp ports (port-unreach), 29713 closed tcp ports (reset)
PORT      STATE SERVICE
8008/tcp  open  http
8020/tcp  open  intu-ec-svcdisc
30021/tcp open  unknown
30092/tcp open  unknown
30093/tcp open  unknown
30096/tcp open  unknown
30098/tcp open  unknown
30124/tcp open  unknown
30134/tcp open  unknown
30138/tcp open  unknown
30153/tcp open  unknown
30155/tcp open  unknown
30163/tcp open  unknown
30173/tcp open  unknown
30187/tcp open  unknown
30192/tcp open  unknown
30202/tcp open  unknown
30205/tcp open  unknown
30206/tcp open  unknown
30213/tcp open  unknown
30225/tcp open  unknown
30231/tcp open  unknown
30243/tcp open  unknown
30244/tcp open  unknown
30252/tcp open  unknown
30263/tcp open  unknown
30271/tcp open  unknown
30286/tcp open  unknown
30290/tcp open  unknown
30299/tcp open  unknown
30333/tcp open  unknown
30339/tcp open  unknown
30340/tcp open  unknown
30344/tcp open  unknown
30350/tcp open  unknown
30363/tcp open  unknown
30402/tcp open  unknown
30411/tcp open  unknown
30442/tcp open  unknown
30447/tcp open  unknown
30469/tcp open  unknown
30480/tcp open  unknown
30494/tcp open  unknown
30498/tcp open  unknown
30511/tcp open  unknown
30516/tcp open  unknown
30534/tcp open  unknown
30562/tcp open  unknown
30581/tcp open  unknown
30582/tcp open  unknown
30601/tcp open  unknown
30607/tcp open  unknown
30634/tcp open  unknown
30635/tcp open  unknown
30638/tcp open  unknown
30643/tcp open  unknown
30680/tcp open  unknown
30693/tcp open  unknown
30696/tcp open  unknown
30731/tcp open  unknown
30737/tcp open  unknown
30738/tcp open  unknown
30741/tcp open  unknown
30762/tcp open  unknown
30767/tcp open  unknown
30788/tcp open  unknown
30790/tcp open  unknown
30799/tcp open  unknown
30804/tcp open  unknown
30805/tcp open  unknown
30809/tcp open  unknown
30833/tcp open  unknown
30837/tcp open  unknown
30842/tcp open  unknown
30851/tcp open  unknown
30856/tcp open  unknown
30867/tcp open  unknown
30871/tcp open  unknown
30877/tcp open  unknown
30879/tcp open  unknown
30883/tcp open  unknown
30892/tcp open  unknown
30893/tcp open  unknown
30894/tcp open  unknown
30908/tcp open  unknown
30916/tcp open  unknown
30927/tcp open  unknown
30929/tcp open  unknown
30941/tcp open  unknown
30946/tcp open  unknown
30954/tcp open  unknown
30975/tcp open  unknown
30977/tcp open  unknown
30984/tcp open  unknown
30993/tcp open  unknown
30998/tcp open  unknown
30999/tcp open  ovobs
31005/tcp open  unknown
31034/tcp open  unknown
31043/tcp open  unknown
31044/tcp open  unknown
31057/tcp open  unknown
31058/tcp open  unknown
31069/tcp open  unknown
31082/tcp open  unknown
31088/tcp open  unknown
31089/tcp open  unknown
31119/tcp open  unknown
31122/tcp open  unknown
31124/tcp open  unknown
31126/tcp open  unknown
31144/tcp open  unknown
31157/tcp open  unknown
31161/tcp open  unknown
31179/tcp open  unknown
31182/tcp open  unknown
31184/tcp open  unknown
31207/tcp open  unknown
31212/tcp open  unknown
31215/tcp open  unknown
31228/tcp open  unknown
31231/tcp open  unknown
31240/tcp open  unknown
31245/tcp open  unknown
31247/tcp open  unknown
31278/tcp open  unknown
31291/tcp open  unknown
31306/tcp open  unknown
31308/tcp open  unknown
31324/tcp open  unknown
31351/tcp open  unknown
31366/tcp open  unknown
31367/tcp open  unknown
31401/tcp open  unknown
31420/tcp open  unknown
31421/tcp open  unknown
31422/tcp open  unknown
31424/tcp open  unknown
31432/tcp open  unknown
31433/tcp open  unknown
31445/tcp open  unknown
31464/tcp open  unknown
31467/tcp open  unknown
31476/tcp open  unknown
31489/tcp open  unknown
31497/tcp open  unknown
31509/tcp open  unknown
31510/tcp open  unknown
31534/tcp open  unknown
31537/tcp open  unknown
31549/tcp open  unknown
31560/tcp open  unknown
31578/tcp open  unknown
31580/tcp open  unknown
31585/tcp open  unknown
31586/tcp open  unknown
31604/tcp open  unknown
31614/tcp open  unknown
31626/tcp open  unknown
31672/tcp open  unknown
31677/tcp open  unknown
31682/tcp open  unknown
31683/tcp open  unknown
31702/tcp open  unknown
31711/tcp open  unknown
31718/tcp open  unknown
31722/tcp open  unknown
31732/tcp open  unknown
31737/tcp open  unknown
31738/tcp open  unknown
31766/tcp open  unknown
31767/tcp open  unknown
31774/tcp open  unknown
31795/tcp open  unknown
31800/tcp open  unknown
31830/tcp open  unknown
31832/tcp open  unknown
31846/tcp open  unknown
31852/tcp open  unknown
31876/tcp open  unknown
31880/tcp open  unknown
31908/tcp open  unknown
31915/tcp open  unknown
31925/tcp open  unknown
31934/tcp open  unknown
31940/tcp open  unknown
31951/tcp open  unknown
31968/tcp open  unknown
31982/tcp open  unknown
31991/tcp open  unknown
31992/tcp open  unknown
32003/tcp open  unknown
32009/tcp open  unknown
32011/tcp open  unknown
32019/tcp open  unknown
32022/tcp open  unknown
32023/tcp open  unknown
32030/tcp open  unknown
32041/tcp open  unknown
32044/tcp open  unknown
